Site,CoreName,adj_density
IMS,MM,18.6
IMS,MM,6.32
IMS,MM,54
Carrot,LM,0.88
Carrot,MM,1.92
Carrot,HM,31.36
NOAA,LM,201.6
NOAA,MM,93.08
NOAA,HM,67.8
Army,LM,137
Army,MM,154.8
Army,HM,572
