"Site","CoreName","avg_PercInun"
"IMS","LO",100
"IMS","HO",96.755
"IMS","MM",78.173
"IMS","Ref",99.995
"Carrot","LO",100
"Carrot","HO",70.668
"Carrot","LM",71.853
"Carrot","MM",63.282
"Carrot","HM",44.166
"Carrot","Ref",71.853
"NOAA","LO",100
"NOAA","HO",96.895
"NOAA","LM",98.299
"NOAA","MM",95.738
"NOAA","HM",65.783
"NOAA","Ref",98.299
"Army","LO",89.808
"Army","HO",78.52
"Army","LM",64.172
"Army","MM",52.145
"Army","HM",45.152
"Army","Ref",91.156
