Season,Site,CoreName,CoreNo,DryWeight,CombustWeight
Fall,Carrot,MM,1,17.876,17.786
Fall,Carrot,MM,2,17.3,17.224
Fall,Carrot,MM,3,16.317,16.233
Fall,Carrot,HM,1,15.503,15.408
Fall,Carrot,HM,2,16.989,16.913
Fall,Carrot,HM,3,19.347,19.265
Fall,Carrot,Ref,1,22.006,21.884
Fall,Carrot,Ref,2,12.846,12.721
Fall,Carrot,Ref,3,12.959,12.842
Fall,Carrot,LoRef,1,19.864,19.742
Fall,Carrot,HiRef,1,16.02,15.981
Winter,NOAA,LO,1,6.342,5.907
Winter,NOAA,LO,2,8.739,8.304
Winter,NOAA,LO,3,6.15,5.713
Winter,NOAA,HO,1,5.685,5.228
Winter,NOAA,HO,2,5.292,4.89
Winter,NOAA,HO,3,5.358,4.919
Winter,NOAA,LM,1,5.569,5.187
Winter,NOAA,LM,2,9.113,8.624
Winter,NOAA,LM,3,5.877,5.445
Winter,NOAA,MM,1,11.345,10.987
Winter,NOAA,MM,2,9.37,9.015
Winter,NOAA,MM,3,8.916,8.477
Winter,NOAA,HM,1,15.568,15.492
Winter,NOAA,HM,2,19.791,19.688
Winter,NOAA,HM,3,16.645,16.5
Winter,NOAA,Ref,1,10.462,10.102
Winter,NOAA,Ref,2,14.99,14.782
Winter,NOAA,Ref,3,16.452,16.273
Winter,NOAA,LoRef,1,5.795,5.395
Winter,NOAA,HiRef,1,11.97,11.829
Winter,Army,LO,1,7.666,7.356
Winter,Army,LO,2,7.373,6.885
Winter,Army,LO,3,9.296,9.015
Winter,Army,HO,1,9.412,9.116
Winter,Army,HO,2,12.275,12.033
Winter,Army,HO,3,12.27,11.881
Winter,Army,LM,1,11.156,10.734
Winter,Army,LM,2,10.023,9.667
Winter,Army,LM,3,9.392,8.992
Winter,Army,MM,1,8.474,8.02
Winter,Army,MM,2,9.896,9.536
Winter,Army,MM,3,13.161,12.682
Winter,Army,HM,1,4.918,4.659
Winter,Army,HM,2,7.166,6.592
Winter,Army,HM,3,5.298,4.928
Winter,Army,Ref,1,7.113,6.75
Winter,Army,Ref,2,11.038,10.823
Winter,Army,Ref,3,8.439,8.044
Winter,Army,LoRef,1,5.51,5.085
Winter,Army,HiRef,1,12,11.817
Winter,Carrot,LO,1,17.777,17.686
Winter,Carrot,LO,2,14.073,13.938
Winter,Carrot,LO,3,14.843,14.714
Winter,Carrot,HO,1,9.402,9.102
Winter,Carrot,HO,3,11.008,10.77
Winter,Carrot,LM,1,14.447,14.332
Winter,Carrot,LM,2,12.669,12.58
Winter,Carrot,LM,3,11.45,11.328
Winter,Carrot,MM,1,16.773,16.638
Winter,Carrot,MM,2,13.95,13.818
Winter,Carrot,MM,3,18.984,18.849
Winter,Carrot,HM,1,17.499,17.41
Winter,Carrot,HM,2,25.414,25.267
Winter,Carrot,HM,3,18.184,18.083
Winter,Carrot,Ref,1,20.067,19.878
Winter,Carrot,Ref,2,16.235,16.089
Winter,Carrot,Ref,3,18.002,17.841
Winter,Carrot,LoRef,1,13.249,13.184
Winter,Carrot,HiRef,1,25.406,25.289
Winter,IMS,LO,1,17.53,17.403
Winter,IMS,LO,2,19.483,19.284
