Season,Site,CoreName,CoreNo,flux_NOx,flux_NH3,flux_DIN
Winter,Carrot,MM,1,-2.611135785,1.198990935,-1.41214485
Winter,Carrot,MM,2,-2.611135785,-63.8262834,-66.43741918
Winter,Carrot,MM,3,-2.611135785,-16.7858729,-19.39700869
Winter,Carrot,HM,1,-2.611135785,15.18721836,12.57608257
Winter,Carrot,HM,2,-1.052447579,-50.49083992,-51.5432875
Winter,Carrot,HM,3,-2.611135785,-46.4942035,-49.10533929
Winter,Carrot,Ref,1,-2.611135785,-51.42338842,-54.0345242
Winter,Carrot,Ref,2,-2.611135785,-68.91533376,-71.52646954
Winter,Carrot,Ref,3,-2.611135785,-57.01867939,-59.62981517
Winter,Carrot,LoRef,1,-2.611135785,10.52447588,7.913340097
Winter,Carrot,HiRef,1,-1.437456902,174.9194534,173.4819965
Spring,Carrot,LO,1,-3.030782608,14.58772289,11.55694028
Spring,Carrot,LO,2,-3.030782608,-14.7209441,-17.75172671
Spring,Carrot,LO,3,-3.030782608,38.96720496,35.93642235
Spring,Carrot,HO,1,-1.973006167,0.066610605,-1.906395562
Spring,Carrot,HO,2,-3.030782608,44.02961107,40.99882846
Spring,Carrot,HO,3,-3.030782608,54.02120209,50.99041948
Spring,Carrot,LM,1,-3.030782608,1.798486384,-1.232296224
Spring,Carrot,LM,2,-3.030782608,-5.795122784,-8.825905392
Spring,Carrot,LM,3,-3.030782608,45.62826563,42.59748303
Spring,Carrot,MM,1,-3.030782608,-6.194786436,-9.225569043
Spring,Carrot,MM,2,-3.030782608,43.23028378,40.19950117
Spring,Carrot,MM,3,-3.030782608,-14.45450168,-17.48528428
Spring,Carrot,HM,1,-3.030782608,95.98588435,92.95510174
Spring,Carrot,HM,2,-3.030782608,-12.85584711,-15.88662972
Spring,Carrot,HM,3,-3.030782608,28.57595031,25.5451677
Spring,Carrot,Ref,1,-3.030782608,-29.10883515,-32.13961776
Spring,Carrot,Ref,2,1.911724414,-32.57258671,-30.66086229
Spring,Carrot,Ref,3,-2.083579785,61.88125368,59.79767389
Summer,NOAA,LO,1,-30.90732153,100.781848,69.8745265
Summer,NOAA,LO,2,-36.36939128,-50.02456568,-86.39395696
Summer,NOAA,LO,3,-39.96636405,-22.5809957,-62.54735975
Summer,NOAA,HO,1,-34.90395795,-52.15610511,-87.06006305
Summer,NOAA,HO,2,-37.43516099,-51.75644145,-89.19160244
Summer,NOAA,HO,3,-42.63078832,-70.74046438,-113.3712527
Summer,NOAA,LM,1,-30.90732153,66.14433251,35.23701098
Summer,NOAA,LM,2,-67.14349161,-48.42591113,-115.5694027
Summer,NOAA,LM,3,-62.0810855,18.71758049,-43.36350501
Summer,NOAA,MM,1,-17.05231532,68.80875678,51.75644146
Summer,NOAA,MM,2,-69.78127165,-72.20589774,-141.9871694
Summer,NOAA,MM,3,-32.77241852,-54.0212021,-86.79362061
Summer,NOAA,HM,1,-14.38789106,-27.51018059,-41.89807166
Summer,NOAA,HM,2,-14.25466983,-62.28091734,-76.53558717
Summer,NOAA,HM,3,-6.927503105,-7.26055615,-14.18805926
Summer,NOAA,Ref,1,-32.77241852,-21.91488962,-54.68730814
Summer,NOAA,Ref,2,-23.84659722,-56.28596272,-80.13255994
Summer,NOAA,Ref,3,-20.11640324,-25.91152604,-46.02792929
Fall,NOAA,LO,1,-2.964172002,-13.05567893,-16.01985093
Fall,NOAA,LO,2,-2.964172002,-20.11640323,-23.08057523
Fall,NOAA,LO,3,-2.964172002,-6.527839463,-9.492011465
Fall,NOAA,HO,1,-2.964172002,-12.9224577,-15.8866297
Fall,NOAA,HO,2,-2.964172002,-20.14304749,-23.10721949
Fall,NOAA,HO,3,-2.964172002,-19.91657141,-22.88074341
Fall,NOAA,LM,1,-2.964172002,65.81127949,62.84710749
Fall,NOAA,LM,2,-2.964172002,38.10126707,35.13709507
Fall,NOAA,LM,3,-2.964172002,3.996636419,1.032464417
Fall,NOAA,MM,1,-2.964172002,-7.726830379,-10.69100238
Fall,NOAA,MM,2,-2.964172002,-15.45366076,-18.41783276
Fall,NOAA,MM,3,-2.964172002,-18.22466201,-21.18883401
Fall,NOAA,HM,1,-2.964172002,-19.23714323,-22.20131523
Fall,NOAA,HM,2,-2.964172002,-19.09059989,-22.05477189
Fall,NOAA,HM,3,-2.964172002,-16.43949774,-19.40366974
Fall,NOAA,Ref,1,-2.964172002,-8.526157663,-11.49032967
Fall,NOAA,Ref,2,-2.964172002,-19.2238211,-22.1879931
Fall,NOAA,Ref,3,-2.964172002,-19.33039807,-22.29457008
Winter,NOAA,LO,1,-1.179007736,14.58772285,13.40871511
Winter,NOAA,LO,2,-1.179007736,-86.39395702,-87.57296475
Winter,NOAA,LO,3,-1.179007736,51.88966264,50.7106549
Winter,NOAA,HO,1,-1.179007736,-1.798486421,-2.977494157
Winter,NOAA,HO,2,1.11239714,-28.57595035,-27.46355321
Winter,NOAA,HO,3,-1.179007736,-49.89134449,-51.07035223
Winter,NOAA,LM,1,0.726055615,103.8459359,104.5719915
Winter,NOAA,LM,2,-1.179007736,-78.80034783,-79.97935556
Winter,NOAA,LM,3,1.951690785,83.86275388,85.81444466
Winter,NOAA,MM,1,-1.179007736,47.89302622,46.71401848
