Season,Site,CoreName,CoreNo,uM_NOx,uM_NH3,uM_PO4,uM_TN,uM_ON
Spring,IMS,In1,1,0,0.785714286,0.182580645,9.142857143,8.449285714
Spring,IMS,In2,1,0.242142857,1.171428571,0.216129032,13.42857143,12.015
Spring,IMS,LO,1,0.23,0.455714286,0.168387097,9.357142857,8.671428571
Spring,IMS,LO,2,0.047285714,0.907142857,0.180645161,9.928571429,8.974142857
Spring,IMS,LO,3,0.145714286,0.914285714,0.170967742,9.071428571,8.011428571
Spring,IMS,HO,1,0,1.042857143,0.263225806,11.71428571,10.79785714
Spring,IMS,HO,2,0.003157143,1.035714286,0.159677419,8.857142857,7.818271429
Spring,IMS,HO,3,0.186428571,1.257142857,0.179354839,10,8.556428571
Spring,IMS,MM,1,0.44,1.9,0.163225806,11.57142857,9.231428571
Spring,IMS,MM,2,0.524285714,16,0.201290323,28.85714286,12.33285714
Spring,IMS,MM,3,0.450714286,17.28571429,0.171612903,30.28571429,12.54928571
Spring,IMS,Ref,1,0.249285714,0.8,0.17483871,10,8.950714286
Spring,IMS,Ref,2,0.046142857,0.697142857,0.180645161,6.235714286,5.492428571
Spring,IMS,Ref,3,0,1.228571429,0.221612903,9.5,8.477857143
Summer,Carrot,In1,1,0,0.864285714,0.145483871,12.14285714,11.27857143
Summer,Carrot,In2,1,0.055285714,4.885714286,0.143870968,17.85714286,12.91614286
Summer,Carrot,LO,1,0,0.864285714,0.156129032,11,10.13571429
Summer,Carrot,LO,2,0,29.5,0.129032258,49.57142857,20.07142857
Summer,Carrot,LO,3,0.011714286,2.578571429,0.144193548,15.78571429,13.19542857
Summer,Carrot,HO,1,0,0.629285714,0.11483871,14.64285714,14.01357143
Summer,Carrot,HO,2,0,0.432857143,0.201290323,11.85714286,11.42428571
Summer,Carrot,HO,3,0.099285714,6.221428571,0.221290323,20.85714286,14.53642857
Summer,Carrot,LM,1,0.060714286,2.578571429,0.207096774,16.57142857,13.93214286
Summer,Carrot,LM,2,0.034714286,6.135714286,0.171290323,25.28571429,19.11528571
Summer,Carrot,LM,3,0,1.25,0.184193548,14,12.75
Summer,Carrot,MM,1,0,1.221428571,0.237741935,20.07142857,18.85
Summer,Carrot,MM,2,0,0.871428571,0.118387097,15,14.12857143
Summer,Carrot,MM,3,0,0.792857143,0.171612903,15.35714286,14.56428571
Summer,Carrot,HM,1,0,3.521428571,0.110967742,22.71428571,19.19285714
Summer,Carrot,HM,2,0,1.028571429,0.16,20.5,19.47142857
Summer,Carrot,HM,3,0,0.785714286,0.134193548,17.5,16.71428571
Summer,Carrot,Ref,1,0,1.957142857,0.11483871,15.78571429,13.82857143
Summer,Carrot,Ref,2,0,0.639285714,0.097096774,16.28571429,15.64642857
Summer,Carrot,Ref,3,0,0.971428571,0.148064516,11.5,10.52857143
Fall,Carrot,In1,1,0,0.935714286,0.335483871,16.35714286,15.42142857
Fall,Carrot,In2,1,0,1.671428571,0.374193548,18.92857143,17.25714286
Fall,Carrot,LO,1,0,1.457142857,0.211612903,18.35714286,16.9
Fall,Carrot,LO,2,0,0.633571429,0.183548387,15.07142857,14.43785714
Fall,Carrot,LO,3,0,0.864285714,0.206774194,17.64285714,16.77857143
Fall,Carrot,HO,1,0,0.699285714,0.220967742,17,16.30071429
Fall,Carrot,HO,2,0,0.792857143,0.241612903,16.28571429,15.49285714
