Season,Site,CoreName,CoreNo,TimePt,O2Flux
Winter,IMS,LoRef,1,5,-80.12906974
Winter,IMS,HiRef,1,1,-459.23915
Winter,IMS,HiRef,1,2,-457.6672597
Winter,IMS,HiRef,1,3,-473.1207831
Winter,IMS,HiRef,1,4,-479.2398206
Winter,IMS,HiRef,1,5,-447.7244507
Spring,IMS,LO,1,1,-745.1093879
Spring,IMS,LO,1,2,-671.2131067
Spring,IMS,LO,1,3,-633.1227733
Spring,IMS,LO,1,4,-961.3198631
Spring,IMS,LO,1,5,-1197.415127
Spring,IMS,LO,2,1,-2039.688371
Spring,IMS,LO,2,2,-1299.044165
Spring,IMS,LO,2,3,-1637.580326
Spring,IMS,LO,2,4,-2322.763138
Spring,IMS,LO,2,5,-2442.247551
Spring,IMS,LO,3,1,-1515.649402
Spring,IMS,LO,3,2,-1062.974562
Spring,IMS,LO,3,3,-1274.600867
Spring,IMS,LO,3,4,-1366.137342
Spring,IMS,LO,3,5,-1661.89627
Spring,IMS,HO,1,1,-2623.648471
Spring,IMS,HO,1,2,-1282.367926
Spring,IMS,HO,1,3,-2167.342701
Spring,IMS,HO,1,4,-2994.807577
Spring,IMS,HO,1,5,-3238.042017
Spring,IMS,HO,2,1,-1300.674862
Spring,IMS,HO,2,2,-480.7792557
Spring,IMS,HO,2,3,-588.7349063
Spring,IMS,HO,2,4,-1551.193
Spring,IMS,HO,2,5,-2037.171583
Spring,IMS,HO,3,1,-1329.989255
Spring,IMS,HO,3,2,-348.7596598
Spring,IMS,HO,3,3,-659.0085451
Spring,IMS,HO,3,4,-700.3647618
Spring,IMS,HO,3,5,-844.0626346
Spring,IMS,MM,1,1,-1208.495864
Spring,IMS,MM,1,2,-1389.631959
Spring,IMS,MM,1,3,-1218.946398
Spring,IMS,MM,1,4,-1413.554529
Spring,IMS,MM,1,5,-2187.943548
Spring,IMS,MM,2,1,-1510.040815
Spring,IMS,MM,2,2,-1178.187505
Spring,IMS,MM,2,3,-1179.695653
Spring,IMS,MM,2,4,-1112.146316
Spring,IMS,MM,2,5,-1300.921789
Spring,IMS,MM,3,1,-1689.727999
Spring,IMS,MM,3,2,-1215.081741
Spring,IMS,MM,3,3,-1113.170258
Spring,IMS,MM,3,4,-1143.923104
Spring,IMS,MM,3,5,-1291.577958
Spring,IMS,Ref,1,1,-345.0381107
Spring,IMS,Ref,1,2,-455.0755853
Spring,IMS,Ref,1,3,-518.0044133
Spring,IMS,Ref,1,4,-837.8211657
Spring,IMS,Ref,1,5,-912.3746619
Spring,IMS,Ref,2,1,-535.9097025
Spring,IMS,Ref,2,2,-471.2213714
Spring,IMS,Ref,2,3,-456.1343304
Spring,IMS,Ref,2,4,-301.5079279
Spring,IMS,Ref,2,5,-323.7646009
Spring,IMS,Ref,3,1,-1133.346362
Spring,IMS,Ref,3,2,-1023.679836
Spring,IMS,Ref,3,3,-1015.964855
Spring,IMS,Ref,3,4,-981.242211
Spring,IMS,Ref,3,5,-1100.444662
Spring,IMS,LoRef,1,1,-1127.824191
Spring,IMS,LoRef,1,2,-584.621832
Spring,IMS,LoRef,1,3,-448.6708045
Spring,IMS,LoRef,1,4,-451.1274223
Spring,IMS,LoRef,1,5,-438.5747735
Spring,IMS,HiRef,1,1,-1294.169282
Spring,IMS,HiRef,1,2,-1348.914544
Spring,IMS,HiRef,1,3,-1432.694743
Spring,IMS,HiRef,1,4,-1572.706569
Spring,IMS,HiRef,1,5,-1740.77964
Summer15,IMS,LO,1,1,-1168.291293
Summer15,IMS,LO,2,1,-183.1684737
Summer15,IMS,LO,3,1,-1369.947183
Summer15,IMS,LO,1,2,-1307.78714
Summer15,IMS,LO,2,2,-339.2914575
Summer15,IMS,LO,3,2,-1707.029544
Summer15,IMS,LO,1,3,-2111.042729
Summer15,IMS,LO,2,3,-390.9517395
Summer15,IMS,LO,3,3,-2911.089659
Summer15,IMS,LO,1,4,-2042.601049
Summer15,IMS,LO,2,4,-460.6750622
Summer15,IMS,LO,3,4,-3285.3294
Summer15,IMS,LO,1,5,-2237.729094
Summer15,IMS,LO,2,5,-520.1046579
Summer15,IMS,LO,3,5,-3265.747087
Summer15,IMS,HO,1,1,-311.3687635
Summer15,IMS,HO,2,1,-324.8078458
Summer15,IMS,HO,3,1,-321.0467713
Summer15,IMS,HO,1,2,-437.0254256
Summer15,IMS,HO,2,2,-446.9067418
Summer15,IMS,HO,3,2,-496.8256238
Summer15,IMS,HO,1,3,-776.0943383
Summer15,IMS,HO,2,3,-625.1025539
Summer15,IMS,HO,3,3,-370.2882707
Summer15,IMS,HO,1,4,-808.0452764
Summer15,IMS,HO,2,4,-893.2568001
Summer15,IMS,HO,3,4,-489.1155002
Summer15,IMS,HO,1,5,-853.5395286
Summer15,IMS,HO,2,5,-1048.007086
Summer15,IMS,HO,3,5,-615.7528689
Summer15,IMS,MM,1,1,-1274.955646
Summer15,IMS,MM,2,1,-1404.571344
Summer15,IMS,MM,3,1,-1678.667059
Summer15,IMS,MM,1,2,-1497.548482
Summer15,IMS,MM,2,2,-1524.155572
Summer15,IMS,MM,3,2,-1815.299509
Summer15,IMS,MM,1,3,-1867.033035
Summer15,IMS,MM,2,3,-2033.733801
Summer15,IMS,MM,3,3,-2447.597707
Summer15,IMS,MM,1,4,-1891.239711
Summer15,IMS,MM,2,4,-2109.464668
Summer15,IMS,MM,3,4,-2412.268815
Summer15,IMS,MM,1,5,-2095.965949
Summer15,IMS,MM,2,5,-2038.798099
Summer15,IMS,MM,3,5,-2714.552263
Summer,Carrot,LO,1,1,-716.0462549
Summer,Carrot,LO,2,1,-634.8188058
Summer,Carrot,LO,3,1,-385.8605343
Summer,Carrot,LO,1,2,-624.5361868
Summer,Carrot,LO,2,2,-677.8277651
Summer,Carrot,LO,3,2,-309.1851548
Summer,Carrot,LO,1,3,-574.1068708
Summer,Carrot,LO,2,3,-609.602988
Summer,Carrot,LO,3,3,-230.1508656
Summer,Carrot,HO,1,1,-630.2707245
Summer,Carrot,HO,2,1,-1283.087957
Summer,Carrot,HO,3,1,-524.710433
Summer,Carrot,HO,1,2,-721.2535168
Summer,Carrot,HO,2,2,-1384.524047
Summer,Carrot,HO,3,2,-608.8454923
Summer,Carrot,HO,1,3,-1048.376175
Summer,Carrot,HO,2,3,-1355.998145
Summer,Carrot,HO,3,3,-1293.045514
Summer,Carrot,LM,1,1,-240.3091696
Summer,Carrot,LM,2,1,-440.5045489
Summer,Carrot,LM,3,1,-253.6821074
Summer,Carrot,LM,1,2,-200.376495
Summer,Carrot,LM,2,2,-501.2619532
Summer,Carrot,LM,3,2,-353.0998988
Summer,Carrot,LM,1,3,-163.1253271
Summer,Carrot,LM,2,3,-363.2523076
Summer,Carrot,LM,3,3,-327.3247521
Summer,Carrot,MM,1,1,-1636.738387
Summer,Carrot,MM,2,1,-1673.692495
Summer,Carrot,MM,3,1,-1574.917553
Summer,Carrot,MM,1,2,-1853.447135
Summer,Carrot,MM,2,2,-1894.389168
Summer,Carrot,MM,3,2,-1790.35056
Summer,Carrot,MM,1,3,-1821.957978
Summer,Carrot,MM,2,3,-1804.894282
Summer,Carrot,MM,3,3,-1722.214693
Summer,Carrot,HM,1,1,-1704.771451
Summer,Carrot,HM,2,1,-1586.334139
Summer,Carrot,HM,3,1,-1827.227695
Summer,Carrot,HM,1,2,-1869.677683
Summer,Carrot,HM,2,2,-1803.552718
Summer,Carrot,HM,3,2,-1964.429919
Summer,Carrot,HM,1,3,-1786.018537
Summer,Carrot,HM,2,3,-1766.318571
Summer,Carrot,HM,3,3,-1855.181552
Summer,Carrot,Ref,1,1,-112.6779775
Summer,Carrot,Ref,2,1,-185.3533438
Summer,Carrot,Ref,3,1,-420.8615357
Summer,Carrot,Ref,1,2,-265.8467646
Summer,Carrot,Ref,2,2,-241.8301751
Summer,Carrot,Ref,3,2,-236.5637847
Summer,Carrot,Ref,1,3,-259.7748228
Summer,Carrot,Ref,2,3,-257.5092153
Summer,Carrot,Ref,3,3,-282.285431
Fall,Carrot,LO,1,1,-494.6167722
Fall,Carrot,LO,2,1,-482.3758875
Fall,Carrot,LO,3,1,-155.5211959
Fall,Carrot,LO,1,2,-374.4324773
Fall,Carrot,LO,2,2,-391.5574899
Fall,Carrot,LO,3,2,-172.6455708
Fall,Carrot,LO,1,3,-393.4570526
Fall,Carrot,LO,2,3,-383.7097167
Fall,Carrot,LO,3,3,-176.9781826
Fall,Carrot,HO,1,1,-153.3685131
Fall,Carrot,HO,2,1,-184.2371039
Fall,Carrot,HO,3,1,-253.5414857
Fall,Carrot,HO,1,2,-272.3830355
Fall,Carrot,HO,2,2,-192.3900209
Fall,Carrot,HO,3,2,-213.4503051
Fall,Carrot,HO,1,3,-268.7334428
Fall,Carrot,HO,2,3,-206.3786126
Fall,Carrot,HO,3,3,-218.3566247
Fall,Carrot,LM,1,1,-161.4325642
Fall,Carrot,LM,2,1,-170.9194768
Fall,Carrot,LM,3,1,-122.1523578
Fall,Carrot,LM,1,2,-141.3460881
Fall,Carrot,LM,2,2,-138.0633227
Fall,Carrot,LM,3,2,-145.3909451
Fall,Carrot,LM,1,3,-142.0175097
Fall,Carrot,LM,2,3,-158.757517
Fall,Carrot,LM,3,3,-164.2833842
Fall,Carrot,MM,1,1,-246.4084418
Fall,Carrot,MM,2,1,-390.2976926
Fall,Carrot,MM,3,1,-24.63338477
Fall,Carrot,MM,1,2,-310.1412298
Fall,Carrot,MM,2,2,-446.8101975
Fall,Carrot,MM,3,2,-82.5021077
