Site,Season,CoreName,CoreNo,flux_Nox,flux_NH3
Carrot,Spring,MM,3,-2.159515866,-14.45450168
Carrot,Spring,HM,1,-3.030782608,95.98588435
Carrot,Spring,HM,2,-3.030782608,-12.85584711
Carrot,Spring,HM,3,-3.030782608,28.57595031
Carrot,Spring,Ref,1,-3.030782608,-29.10883515
Carrot,Spring,Ref,2,1.911724414,-32.57258671
Carrot,Spring,Ref,3,-2.083579785,61.88125368
NOAA,Summer,LO,1,-30.90732153,100.781848
NOAA,Summer,LO,2,-36.36939128,-50.02456568
NOAA,Summer,LO,3,-39.96636405,-22.5809957
NOAA,Summer,HO,1,-34.90395795,-52.15610511
NOAA,Summer,HO,2,-37.43516099,-51.75644145
NOAA,Summer,HO,3,-42.63078832,-70.74046438
NOAA,Summer,LM,1,-30.90732153,66.14433251
NOAA,Summer,LM,2,-67.14349161,-48.42591113
NOAA,Summer,LM,3,-62.0810855,18.71758049
NOAA,Summer,MM,1,-17.05231532,68.80875678
NOAA,Summer,MM,2,-69.78127165,-72.20589774
NOAA,Summer,MM,3,-32.77241852,-54.0212021
NOAA,Summer,HM,1,-14.38789106,-27.51018059
NOAA,Summer,HM,2,-14.25466983,-62.28091734
NOAA,Summer,HM,3,-6.927503105,-7.26055615
NOAA,Summer,Ref,1,-32.77241852,-21.91488962
NOAA,Summer,Ref,2,-23.84659722,-56.28596272
NOAA,Summer,Ref,3,-20.11640324,-25.91152604
NOAA,Fall,LO,1,-2.964172002,-13.05567893
NOAA,Fall,LO,2,-2.964172002,-20.11640323
NOAA,Fall,LO,3,-2.964172002,-6.527839463
NOAA,Fall,HO,1,-2.964172002,-12.9224577
NOAA,Fall,HO,2,-2.964172002,-20.14304749
NOAA,Fall,HO,3,-2.964172002,-19.91657141
NOAA,Fall,LM,1,-2.964172002,65.81127949
NOAA,Fall,LM,2,-2.964172002,38.10126707
NOAA,Fall,LM,3,-2.964172002,3.996636419
NOAA,Fall,MM,1,-2.964172002,-7.726830379
NOAA,Fall,MM,2,-2.964172002,-15.45366076
NOAA,Fall,MM,3,-2.964172002,-18.22466201
NOAA,Fall,HM,1,-2.964172002,-19.23714323
NOAA,Fall,HM,2,-2.964172002,-19.09059989
NOAA,Fall,HM,3,-2.964172002,-16.43949774
NOAA,Fall,Ref,1,-2.964172002,-8.526157663
NOAA,Fall,Ref,2,-2.964172002,-19.2238211
NOAA,Fall,Ref,3,-2.964172002,-19.33039807
NOAA,Winter,LO,1,-0.607488723,14.58772285
NOAA,Winter,LO,2,-0.731384449,-86.39395702
NOAA,Winter,LO,3,-0.518230515,51.88966264
NOAA,Winter,HO,1,-1.181672148,-1.798486421
NOAA,Winter,HO,2,0.949867263,-28.57595035
NOAA,Winter,HO,3,-0.556864657,-49.89134449
NOAA,Winter,LM,1,0.563525739,103.8459359
NOAA,Winter,LM,2,-1.139041365,-78.80034783
NOAA,Winter,LM,3,1.789160908,83.86275388
NOAA,Winter,MM,1,-1.119058194,47.89302622
NOAA,Winter,MM,2,-0.991165826,91.85602672
NOAA,Winter,MM,3,-1.341537612,-56.55240519
NOAA,Winter,HM,1,-0.644790663,65.21178398
NOAA,Winter,HM,2,-1.341537612,-80.93188726
NOAA,Winter,HM,3,-0.219814997,-95.45299952
NOAA,Winter,Ref,1,2.362012132,33.23869274
NOAA,Winter,Ref,2,1.256276046,-70.27419017
NOAA,Winter,Ref,3,-1.341537612,-13.92161685
NOAA,Winter,LoRef,1,-0.574183425,
NOAA,Winter,HiRef,1,0.790001799,
NOAA,Spring,LO,1,-2.649769945,91.18992065
NOAA,Spring,LO,2,-3.425916722,-25.24541997
NOAA,Spring,LO,3,-1.352195317,353.6357114
NOAA,Spring,HO,1,-3.363835644,-15.12060774
