Season,Site,CoreName,CoreNo,TimePt,conc_O2
Summer,NOAA,LO,1,3,3.657632154
Summer,NOAA,LO,2,3,1.388858172
Summer,NOAA,LO,3,3,0.969579622
Summer,NOAA,HO,1,3,2.808853824
Summer,NOAA,HO,2,3,2.858180539
Summer,NOAA,HO,3,3,3.324791927
Summer,NOAA,LM,1,3,1.552567731
Summer,NOAA,LM,2,3,0.37401516
Summer,NOAA,LM,3,3,0.297931087
Summer,NOAA,MM,1,3,1.528922001
Summer,NOAA,MM,2,3,0.351839457
Summer,NOAA,MM,3,3,1.005261955
Summer,NOAA,HM,1,3,1.643547901
Summer,NOAA,HM,2,3,1.676819619
Summer,NOAA,HM,3,3,1.80221357
Summer,NOAA,Ref,1,3,3.669274542
Summer,NOAA,Ref,2,3,2.735954888
Summer,NOAA,Ref,3,3,3.034525032
Summer,Army,LO,1,1,4.032924197
Summer,Army,LO,2,1,0.412264644
Summer,Army,LO,3,1,0.803983893
Summer,Army,HO,1,1,4.014675098
Summer,Army,HO,2,1,4.60107971
Summer,Army,HO,3,1,4.726690704
Summer,Army,LM,1,1,1.793305849
Summer,Army,LM,2,1,1.593004608
Summer,Army,LM,3,1,0.372667797
Summer,Army,MM,1,1,2.071714917
Summer,Army,MM,2,1,1.629756736
Summer,Army,MM,3,1,1.89064574
Summer,Army,HM,1,1,1.73213056
Summer,Army,HM,2,1,0.426369672
Summer,Army,HM,3,1,1.95149688
Summer,Army,Ref,1,1,4.637680873
Summer,Army,Ref,2,1,4.138668321
Summer,Army,Ref,3,1,4.349901921
Summer,Army,LO,1,2,3.058897781
Summer,Army,LO,2,2,0.699109154
Summer,Army,LO,3,2,1.301993368
Summer,Army,HO,1,2,4.139602753
Summer,Army,HO,2,2,4.62699816
Summer,Army,HO,3,2,4.868016901
Summer,Army,LM,1,2,1.776041426
Summer,Army,LM,2,2,0.787783118
Summer,Army,LM,3,2,0.511386909
Summer,Army,MM,1,2,2.025983331
Summer,Army,MM,2,2,1.238372603
Summer,Army,MM,3,2,1.931892054
Summer,Army,HM,1,2,1.518538251
Summer,Army,HM,2,2,0.454827842
Summer,Army,HM,3,2,1.911856634
Summer,Army,Ref,1,2,4.948528456
Summer,Army,Ref,2,2,4.341517298
Summer,Army,Ref,3,2,4.647057995
Summer,Army,LO,1,3,2.626992727
Summer,Army,LO,2,3,0.425362034
Summer,Army,LO,3,3,0.9790808
Summer,Army,HO,1,3,4.0872277
Summer,Army,HO,2,3,4.444031717
Summer,Army,HO,3,3,4.669542476
Summer,Army,LM,1,3,1.352572627
Summer,Army,LM,2,3,0.397149064
Summer,Army,LM,3,3,0.311756844
Summer,Army,MM,1,3,1.341169729
Summer,Army,MM,2,3,0.931179464
Summer,Army,MM,3,3,1.432245263
Summer,Army,HM,1,3,0.918177314
