Season,Site,CoreName,CoreNo,TimePt,N2Flux
Summer,Army,LO,1,1,71.82047188
Summer,Army,LO,2,1,108.3947376
Summer,Army,LO,3,1,124.639203
Summer,Army,HO,1,1,70.64891722
Summer,Army,HO,2,1,49.77916906
Summer,Army,HO,3,1,47.90529345
Summer,Army,LM,1,1,80.35314939
Summer,Army,LM,2,1,76.32584814
Summer,Army,LM,3,1,79.01183191
Summer,Army,MM,1,1,34.34962011
Summer,Army,MM,2,1,61.94711587
Summer,Army,MM,3,1,31.46739543
Summer,Army,HM,1,1,45.36610586
Summer,Army,HM,2,1,82.5719607
Summer,Army,HM,3,1,24.96051496
Summer,Army,Ref,1,1,27.51189257
Summer,Army,Ref,2,1,31.04291435
Summer,Army,Ref,3,1,26.15942873
Summer,Army,LO,1,2,110.325905
Summer,Army,LO,2,2,93.98285872
Summer,Army,LO,3,2,129.5190755
Summer,Army,HO,1,2,57.13639916
Summer,Army,HO,2,2,45.01092561
Summer,Army,HO,3,2,44.78612192
Summer,Army,LM,1,2,104.7300028
Summer,Army,LM,2,2,114.6691639
Summer,Army,LM,3,2,132.1979759
Summer,Army,MM,1,2,47.17090974
Summer,Army,MM,2,2,94.9283142
Summer,Army,MM,3,2,31.06865252
Summer,Army,HM,1,2,92.9665651
Summer,Army,HM,2,2,110.0909584
Summer,Army,HM,3,2,43.89075281
Summer,Army,Ref,1,2,18.1737739
Summer,Army,Ref,2,2,28.84409987
Summer,Army,Ref,3,2,19.52809401
Summer,Army,LO,1,3,96.55203545
Summer,Army,LO,2,3,83.86053147
Summer,Army,LO,3,3,113.8685942
Summer,Army,HO,1,3,44.22901751
Summer,Army,HO,2,3,30.3632588
Summer,Army,HO,3,3,22.58516727
Summer,Army,LM,1,3,69.4527316
Summer,Army,LM,2,3,86.85911544
Summer,Army,LM,3,3,91.11292359
Summer,Army,MM,1,3,59.14177889
Summer,Army,MM,2,3,101.3804613
Summer,Army,MM,3,3,42.42134011
Summer,Army,HM,1,3,92.42774831
Summer,Army,HM,2,3,101.919615
Summer,Army,HM,3,3,34.21738986
Summer,Army,Ref,1,3,27.41470925
Summer,Army,Ref,2,3,7.02074736
Summer,Army,Ref,3,3,-0.76323981
Summer,Army,LO,1,4,68.3245816
Summer,Army,LO,2,4,82.91699853
Summer,Army,LO,3,4,94.38788061
Summer,Army,HO,1,4,40.38683794
Summer,Army,HO,2,4,30.10444639
Summer,Army,HO,3,4,14.61649817
Summer,Army,LM,1,4,51.74876672
Summer,Army,LM,2,4,61.81086997
Summer,Army,LM,3,4,66.8103137
Summer,Army,MM,1,4,41.50628348
Summer,Army,MM,2,4,39.24953816
Summer,Army,MM,3,4,25.7084042
Summer,Army,HM,1,4,85.99711914
Summer,Army,HM,2,4,60.52991817
Summer,Army,HM,3,4,89.9124278
Summer,Army,Ref,1,4,20.31942456
Summer,Army,Ref,2,4,16.70265749
Summer,Army,Ref,3,4,29.51373664
Fall,IMS,LO,1,1,34.37481812
Fall,IMS,LO,2,1,76.33507764
Fall,IMS,LO,3,1,28.15179748
Fall,IMS,HO,1,1,76.1497885
Fall,IMS,HO,2,1,16.7361913
